algoritm,prop_scale,accuracy,auc,n_amino_acids
hmm,hoop_woods,0.41725215884118977,0.40340048376150134,2
nn,emini,0.650933176514284,0.605954664760407,2
dl,parker,0.6510415077209473,0.6029367922014203,2
dt,levitt,0.5974186759107369,0.5381282118884214,2
rf,hoop_woods,0.5972948713980625,0.5674121243991204,2
svm,emini,0.6509950787706212,0.5308305570114848,2
hmm,parker,0.46053731158500727,0.41897622413465474,2
nn,levitt,0.6509950787706212,0.589429219336691,2
dl,hoop_woods,0.6510105729103088,0.6019377213229699,2
dt,emini,0.6206165464731189,0.5796323809481164,2
rf,parker,0.5986567210374818,0.569457017277382,2
svm,levitt,0.6509950787706212,0.5372864624361721,2
hmm,hoop_woods,0.5815716982884026,0.5937826898926899,2
nn,emini,0.6509950787706212,0.6028525455243754,2
dl,parker,0.6517688632011414,0.6030075041750554,2
dt,levitt,0.596923457860039,0.5375720114738193,2
rf,hoop_woods,0.5991983657804327,0.5672250972504279,2
svm,emini,0.6509950787706212,0.5308305570114848,2
hmm,parker,0.5786468166764679,0.5931486406890761,2
nn,levitt,0.6510415054628741,0.6030891119011668,2
dl,hoop_woods,0.6509332060813904,0.6078798023931616,2
dt,emini,0.6205546442167817,0.5795600957233256,2
rf,parker,0.5983781608839642,0.5688357443488987,2
svm,levitt,0.6509950787706212,0.5372864624361721,2
